地図の五大要素を上げなさい,方位、距離、面積、角度、形
角度や形の関係が正しい図法をなんというか,正角図法
正角図法は何が正しい？,角度
正角図法の一例をあげなさい,メルカトル図法
メルカトル図法を用いて行う航海の方法をなんというか,等角航路
正角図法のデメリットを上げなさい,高緯度ほど面積のひずみが大きくなる
距離と方角が正しい図法をなんというか,正距方位図法
正距方位図法はなにがただしい？？,距離と方角
正距方位図法を用いて行う航海の方法をなんというか,大圏航路（大圏コース）
正距方位図法のデメリットを挙げなさい,周縁部では形や面積のひずみが大きくなる
面積を正しく表す図法をなんというか,正積図法
正積図法の例を三つ挙げなさい,サンソン図法、モルワイデ図法、ホモロサイン図法（グード図法）
サンソン図法の特徴を挙げよ,低緯度でひずみが小さい
モルワイデ図法の特徴を挙げよ,高緯度でひずみが小さい
ホモロサイン図法（グード図法）とはどういうものか,サンソン図法とモルワイデ図法の地図を井戸40度44分で接合したもの
,
山脈、河川、湖沼、海洋などによって定められる国境をなんというか,自然的国境
緯線や経線、建造物などによって定められる国境をなんというか,人為的国境
国家を形成する三要素は,主権・領域・国民
国の領域を構成する三つの範囲は,領土・領海・領空
主権とはどんな権力か,国家が他国に干渉されずに統治する権利
領海の外側に隣接する海域に設定されている、沿岸国の法令により一定の規制を行える海域をなんというか,接続水域
沿岸国に水産資源や海底の鉱山資源などの独占的な利用管理が認められている海域の事,排他的経済水域（EEZ）
接続水域は”領海”から何海里か,12海里
領域は海岸から何海里までか,12海里
排他的経済水域は”沿岸”から最大何海里までか,200海里
排他的経済水域で沿岸国が認められている主な権利は,水産資源や鉱物資源の利用・管理
主権のある国家を何と呼ぶか,独立国
主権を持たない非独立地域は,植民地
植民地を領有・支配する国は,宗主国
1960年は何の年と呼ばれているか,アフリカの年
1960年に独立したアフリカの国は何か国か,17か国
国境はふつう何によって決まるか,条約や協定
領空とは何の上空を指すか,領土と領海の上空
国境が定まらない地域や対立がある地域は,紛争地域／係争地
日本が領有権を主張しているが他国と対立している3つの地域は,北方領土・竹島・尖閣諸島
日本の領土は約何㎢か,約38万㎢
日本の排他的経済水域と領海の合計面積は世界何位の広さか,6位
日本の最西端の島,与那国島
日本の最東端の島,南鳥島
日本の最北端の島,択捉島
日本の最南端の島,沖ノ鳥島
大陸の周縁に広がる水深約200メートルまでの緩やかな海底の事をなんというか,大陸棚
,
地形を作るときの地球内部からの熱エネルギーを源にした力は,内的営力
地形を作るときの地球外部からの太陽エネルギーを源にした力は,外的営力
内的営力のする運動を二つ答えよ,造陸運動、造山運動
